category,description,recommendation,standard,price
טיח ושפכטל,סדק מפאי (שערה) בטיח תקרה — סדקים דקים (שערה) ברשת על פני שטח הטיח בתקרה. נגרמים מהתכווצות הטיח או מתזוזות מבניות קלות,"מריחת שפכטל גמיש על כל המשטח, ליטוש, וצביעה מחדש בצבע אקרילי גמיש","ת""י 1415 — סדקי שערה ברוחב עד 0.1 מ""מ נחשבים ליקוי אסתטי בלבד ואינם פוגעים בביצוע הטיח",₪ 80
טיח ושפכטל,טיח מזרמק — עובש על הטיח — נקודות או כתמים כהים על הטיח המעידים על נוכחות עובש. בעיה בריאותית הנובעת מרטיבות מתמשכת ואוורור לקוי,"טיפול במקור הרטיבות, ניקוי אנטי-פטרייתי, יישום ציפוי אנטי-עובשי, וצביעה בצבע עמיד ברטיבות","ת""י 1415 — טיח חייב להיות יבש ונקי מעובש",₪ 300
טיח ושפכטל,פני שטח טיח גסים — חוסר החלקה — פני שטח הטיח הפנימי גסים ולא חלקים כנדרש. מקשה על צביעה אחידה ופוגע במראה הסופי,"ליטוש מכני של המשטח, מריחת שכבת החלקה דקה, וליטוש סופי","ת""י 1415 — טיח פנימי מוחלק חייב להיות חלק ואחיד ללא גבשושיות או שקעים",₪ 60
טיח ושפכטל,"עובי טיח לא מספיק — שכבת הטיח דקה מהנדרש בתקן, מה שמפחית את ההגנה מפני רטיבות ותנאי מזג אוויר ומקצר את אורך חיי הטיח","הוספת שכבת טיח נוספת להשלמת העובי הנדרש, עם שכבת חיבור (ספריץ) בין השכבות","ת""י 1415 — עובי מינימלי של טיח חיצוני: 20 מ""מ (שתי שכבות). טיח פנימי: 10 מ""מ",₪ 120
טיח ושפכטל,"חוסר חיזוק רשת בטיח על תפר בלוקים-בטון — טיח שבוצע על תפר בין חומרים שונים (בלוקים ובטון) ללא רשת חיזוק, מה שגורם לסדקים לאורך קו התפר","חשיפת התפר, הדבקת רשת פיברגלס ברוחב 20 ס""מ לפחות על כל אורך התפר, טיוח מחדש","ת""י 1415 — יש להניח רשת טיח על כל תפר בין חומרים שונים (בלוקים/בטון) למניעת סדקים",₪ 80
טיח ושפכטל,סדק כיווץ בטיח — סדק דק בטיח הנובע מכיווץ והתייבשות. שכיח בחיבורי קירות ובסביבת פתחים,מילוי הסדק בחומר אקרילי גמיש וצביעה מחדש,"ת""י 1515 — תקן ישראלי לעבודות טיח — סדקי כיווץ עד 0.5 מ""מ נחשבים תקינים",₪ 400
טיח ושפכטל,"סדק אלכסוני בטיח — סדק אלכסוני בטיח, עלול להעיד על תזוזת מבנה או שקיעה דיפרנציאלית. דורש בדיקה הנדסית","בדיקת מהנדס קונסטרוקציה, תיקון בהתאם לממצאים","ת""י 1515 — סדק אלכסוני מעל 1 מ""מ מחייב בדיקת מהנדס","₪ 2,000"
טיח ושפכטל,"בליטות וגבשושיות בטיח — משטח טיח לא חלק — בליטות, גבשושיות או אי-סדרים במרקם","שיוף מקומי וצביעה מחדש, או טיח מחדש בחלק הפגום","ת""י 1515 — סטייה מותרת של 3 מ""מ ב-2 מטר",₪ 600
טיח ושפכטל,"טיח מתקלף / מתפורר — טיח שמתקלף או מתפורר מהקיר, חושף את השכבה שמתחת. עלול להעיד על בעיית רטיבות","הסרת טיח פגום, בדיקת רטיבות, טיח מחדש וצביעה","ת""י 1515 — טיח חייב להיות צמוד לבסיס — התקלפות מהווה כשל","₪ 1,200"
ריצוף וחיפוי קרמיקה,"אריח רצפה שבור או סדוק — אריח רצפה עם שבר, סדק או פגם גלוי. עלול להיגרם מחבטה, עומס נקודתי, או הדבקה לקויה שגרמה למתח באריח","הסרת האריח הפגום, ניקוי המשטח, הדבקת אריח חדש זהה בדבק מתאים ומילוי רובה","ת""י 1555 חלק 3 — אריחי ריצוף חייבים להיות שלמים, ללא סדקים, שברים או פגמים",₪ 400
ריצוף וחיפוי קרמיקה,"אריח רצפה רופף — חלל מתחת לאריח — אריח רצפה שאינו מודבק כראוי ויש חלל בינו לבין המצע. ניתן לזהות על ידי הקשה — צליל חלול. על פי התקן, כיסוי הדבק חייב להיות מינימום 65%","הרמת האריח, ניקוי המשטח מדבק ישן, הדבקה מחדש בשיטת סרוק כפול (דבק על המצע ועל גב האריח), מילוי רובה","ת""י 1555 חלק 3 — כיסוי הדבק מתחת לאריח חייב להיות מינימום 65% משטח האריח, ובאזורים רטובים 80%",₪ 300
ריצוף וחיפוי קרמיקה,"הפרשי גובה בין אריחי רצפה — שיניים — הפרש גובה (שן) בין אריחים סמוכים. גורם למעידה, ומהווה ליקוי אסתטי ובטיחותי כאחד","ליטוש מקומי של השן באמצעות מכונת ליטוש יהלום, או החלפת האריח הבולט והדבקתו מחדש בגובה הנכון","ת""י 1555 חלק 3 — הפרש גובה מקסימלי מותר בין אריחים סמוכים: 1 מ""מ לריצוף רגיל, 0.5 מ""מ לריצוף מוחלק",₪ 200
ריצוף וחיפוי קרמיקה,חוסר מישוריות בריצוף — משטח הרצפה אינו ישר — שקעים או בליטות. ניתן לבדוק באמצעות סרגל ישר באורך 2 מ'. מונע הנחה תקינה של ריהוט,"פירוק אריחים באזור הבעייתי, יישור תשתית המצע, והדבקה מחדש בשיטה תקנית","ת""י 1555 חלק 3 — סטייה מקסימלית מותרת ממישוריות: 3 מ""מ לכל 2 מטר אורך",₪ 250
ריצוף וחיפוי קרמיקה,רובה חסרה או פגומה — חוסר ברובה (פוגה) בין האריחים או רובה שבורה ומתפוררת. מאפשר חדירת מים ולכלוך בין האריחים,"ניקוי הרובה הישנה, מילוי מחדש ברובה תקנית בצבע מתאים, ניקוי עודפים","ת""י 1555 חלק 3 — כל המרווחים בין אריחים חייבים להיות מלאים ברובה באופן אחיד",₪ 60
ריצוף וחיפוי קרמיקה,"שיפוע לקוי בריצוף מרפסת/מקלחת — שיפוע הריצוף אינו מספיק או שהוא בכיוון הלא נכון, מה שגורם להצטברות מים על הרצפה במקום ניקוז לעבר הנקז","פירוק הריצוף באזור הבעייתי, תיקון שכבת השיפוע, ריצוף מחדש עם בדיקת שיפוע","ת""י 1555 חלק 3 — שיפוע מינימלי נדרש של 1.5% לכיוון הנקז באזורים רטובים ומרפסות",₪ 450
ריצוף וחיפוי קרמיקה,מרווח לא אחיד בין אריחים — רוחב הרובה אינו אחיד בין האריחים — מרווחים משתנים בגודלם. פוגע באסתטיקה ומעיד על עבודה לא מקצועית,באזורים קטנים — מילוי רובה מחדש. באזורים נרחבים — פירוק והנחה מחדש עם צלבונים,"ת""י 1555 חלק 3 — מרווח הרובה חייב להיות אחיד בכל הריצוף עם סטייה מותרת של עד 1 מ""מ",₪ 150
ריצוף וחיפוי קרמיקה,אריח חיפוי קיר רופף — אריח חיפוי קיר שאינו מודבק כראוי ונע בלחיצה. מהווה סכנה ליפול ולגרום לפציעה,"הסרת האריח, ניקוי מלא של הדבק הישן מהקיר ומגב האריח, הדבקה מחדש בדבק C2 עם סרוק כפול","ת""י 1555 חלק 3 — כיסוי הדבק באריחי קיר חייב להיות מינימום 80% משטח האריח",₪ 250
ריצוף וחיפוי קרמיקה,"אריח חיפוי קיר סדוק — סדק באריח חיפוי קיר. עלול להיגרם ממתח פנימי כתוצאה מהדבקה לקויה, תזוזת מבנה, או חבטה","החלפת האריח הסדוק באריח חדש זהה, הדבקה בדבק C2 ומילוי רובה","ת""י 1555 חלק 3 — אריחי חיפוי חייבים להיות שלמים וללא סדקים",₪ 300
ריצוף וחיפוי קרמיקה,חוסר התאמת דוגמה/כיוון אריחים — אריחים שהונחו בכיוון לא נכון או שהדוגמה אינה מותאמת ביניהם. בולט בעיקר באריחי שיש או אריחים עם גידים,החלפת האריחים שהונחו שלא כדין והנחתם מחדש בכיוון הנכון,"ת""י 1555 חלק 3 — אריחים עם דוגמה או כיוון מוגדר חייבים להיות מונחים בהתאמה ובכיוון אחיד",₪ 350
ריצוף וחיפוי קרמיקה,"חיתוך אריח לא מדויק — אריחים שנחתכו בצורה לא מדויקת — קצוות משוננים, לא ישרים, או חיתוכים רחבים מדי/צרים מדי סביב צנרת או פתחים","הסרת האריח הפגום וחיתוך מחדש באמצעות מסור רטוב מקצועי, הדבקה ומילוי רובה","ת""י 1555 חלק 3 — חיתוכי אריחים חייבים להיות נקיים ומדויקים ללא שברים בקצוות",₪ 250
ריצוף וחיפוי קרמיקה,"חוסר בנוטפים (כיוון נטייה) באדן חלון — אדן חלון מרוצף ללא שיפוע כלפי חוץ ו/או ללא חריץ נוטפים, מה שמאפשר למים לזרום לעבר הקיר ולגרום לרטיבות",התקנת אדן חדש עם שיפוע מינימלי של 3% כלפי חוץ וחריץ נוטפים בתחתית,"ת""י 1555 חלק 3 — אדני חלון חיצוניים חייבים לכלול שיפוע כלפי חוץ וחריץ נוטפים",₪ 500
ריצוף וחיפוי קרמיקה,"קובייה רטט לקויה — חלל מתחת לריצוף חיצוני — אריחי ריצוף מרפסת או שביל חיצוני עם חללים מתחתיהם, נשמע צליל חלול בהקשה. מסוכן במיוחד במרפסות בשל חשיפה לתנאי מזג אוויר","פירוק הריצוף הפגום, הכנת משטח תקני עם שכבת דבק מלאה, הנחה מחדש בשיטת סרוק כפול","ת""י 1555 חלק 3 — כיסוי דבק מינימלי של 80% נדרש בריצוף חיצוני ואזורים רטובים",₪ 400
ריצוף וחיפוי קרמיקה,רצף לא אחיד של אריחים בין חדרים — חוסר רציפות בריצוף במעבר בין חדרים — אריחים שאינם מיושרים או מתחלפים בצורה לא אחידה בין המרחבים,התאמת הריצוף במעברים על ידי פירוק מקומי והנחה מחדש עם יישור מדויק,"ת""י 1555 חלק 3 — ריצוף חייב להיות רציף ומיושר במעברים בין חדרים, אלא אם כן צוין אחרת במפרט",₪ 500
ריצוף וחיפוי קרמיקה,"אריח פגום מהמפעל — כתמים/שינוי גוון — אריחים עם פגמים מהמפעל כגון כתמים, שינוי גוון בולט, נקודות שחורות, או גימור לא אחיד. לרוב נובע משימוש באריחים מסדרות ייצור שונות",החלפת האריחים הפגומים באריחים מאותה סדרת ייצור (LOT) כדי להבטיח אחידות,"ת""י 1555 חלק 1 — אריחים חייבים להיות ממוינים לפי דרגות איכות — דרגה ראשונה נדרשת למגורים",₪ 300
ריצוף וחיפוי קרמיקה,"סף דלת חסר או לא תקין — סף (מפתן) בין שני סוגי ריצוף או בפתח דלת חסר, פגום, או לא מותקן כראוי. גורם למפגע בטיחותי ולחדירת מים","התקנת סף אלומיניום או פליז מתאים, הדבקה ועיגון מכני","ת""י 1555 חלק 3 — מעברים בין סוגי ריצוף שונים חייבים לכלול סף מתאים או פרופיל מעבר",₪ 200
ריצוף וחיפוי קרמיקה,"ריצוף קרמיקה עם החלקה לא מספקת — אריחי קרמיקה ברצפה עם מקדם החלקה נמוך מהנדרש, במיוחד באזורים רטובים כמו חדרי רחצה וכניסות. מהווה סכנת החלקה",החלפת האריחים באריחים עם מקדם החלקה מתאים (R10-R11 לאזורים רטובים) או יישום ציפוי אנטי-סליפ,"ת""י 1555 חלק 1 — אריחי רצפה באזורים רטובים חייבים לעמוד בדרישת מקדם החלקה R10 לפחות",₪ 350
ריצוף וחיפוי קרמיקה,"קרמיקה מנוקדת/מנומרת שלא בהתאם למפרט — אריחי קרמיקה שהותקנו אינם תואמים את הדגם, הצבע או הגוון שנבחר על ידי הרוכש ומופיע במפרט הטכני",החלפת האריחים שאינם תואמים באריחים מהדגם הנכון בהתאם למפרט,NULL,₪ 400
ריצוף וחיפוי קרמיקה,"מפלס ריצוף לא אחיד בין חדרים — הפרש גובה בין ריצוף בחדרים שונים, יוצר מדרגה קטנה במעבר. מפגע בטיחותי ומעיד על תכנון או ביצוע לקוי של שכבת היישור","פירוק הריצוף באזור המעבר, תיקון שכבת היישור, הנחה מחדש עם מפלס אחיד","ת""י 1555 חלק 3 — מפלס הריצוף חייב להיות אחיד בכל הדירה למעט אזורים רטובים שם נדרש הפרש גובה מבוקר",₪ 600
ריצוף וחיפוי קרמיקה,"ריצוף פורצלן עם שריטות/סימנים — שריטות או סימני שפשוף על אריחי פורצלן שנגרמו במהלך עבודות הבנייה, העברת ציוד כבד, או ניקוי לא מתאים",ליטוש מקצועי של האריחים הפגומים. אם השריטות עמוקות — החלפת האריח,"ת""י 1555 חלק 1 — אריחים חייבים להימסר ללא פגמים, שריטות או סימנים",₪ 200
ריצוף וחיפוי קרמיקה,"אי-התאמה בין ריצוף לפתח ניקוז — ריצוף שאינו מותאם לפתח הניקוז (נקז רצפה) — האריח חוסם חלקית את הנקז, או שאין שיפוע מתאים לכיוון הנקז","חיתוך מדויק של האריחים סביב הנקז, תיקון השיפוע מכל הכיוונים","ת""י 1555 חלק 3 — ריצוף סביב נקזים חייב לאפשר ניקוז מלא עם שיפוע מכל הכיוונים לעבר הנקז",₪ 450
ריצוף וחיפוי קרמיקה,"פלינטוס (סוקל) רופף או מנותק — פלינטוס (רצועת ריצוף בתחתית הקיר) שאינו מודבק כראוי, זזה בלחיצה, או מנותק מהקיר. מאפשר חדירת לכלוך ומים","הסרת הפלינטוס, ניקוי המשטח, הדבקה מחדש בדבק C2 ומילוי סיליקון בפינה העליונה","ת""י 1555 חלק 3 — פלינטוס חייב להיות מודבק באופן מלא לקיר ולרצפה ללא חללים",₪ 60
ריצוף וחיפוי קרמיקה,"תפר התפשטות חסר בריצוף רצפה — ריצוף על שטח גדול (מעל 40 מ""ר) ללא תפר התפשטות. עלול לגרום להתנפחות הריצוף (טנטינג) בעקבות שינויי טמפרטורה","חיתוך תפר התפשטות ברוחב 8-10 מ""מ במיקומים המתאימים, מילוי בחומר גמיש","ת""י 1555 חלק 3 — יש להותיר תפר התפשטות כל 40 מ""ר בריצוף פנימי ו-16 מ""ר בריצוף חיצוני",₪ 80
ריצוף וחיפוי קרמיקה,התנפחות ריצוף — טנטינג — אריחי רצפה שהתנפחו ועלו ממקומם (טנטינג). תופעה המלווה לרוב בצליל פקיעה ונגרמת מהתפשטות תרמית ללא תפרי התפשטות מספקים,"פירוק הריצוף שנפגע, תיקון תשתית היישור, הנחה מחדש עם תפרי התפשטות תקניים","ת""י 1555 חלק 3 — ריצוף חייב לכלול תפרי התפשטות למניעת טנטינג",₪ 450
ריצוף וחיפוי קרמיקה,"אריח ריצוף שבור / סדוק — אריח ריצוף עם סדק, שבר או פגיעה גלויה",החלפת אריח פגום באריח זהה,"ת""י 1555 — אריחים חייבים להיות שלמים ללא סדקים או שברים",₪ 500
ריצוף וחיפוי קרמיקה,ריצוף לא ישר / לא במפלס — הפרשי גובה בין אריחים סמוכים. מורגש בהליכה או נראה לעין,הרמת אריחים בעייתיים והנחה מחדש עם יישור,"ת""י 1555 — הפרש גובה מותר בין אריחים: עד 1 מ""מ",₪ 600
ריצוף וחיפוי קרמיקה,ריצוף מתנדנד / חלול (הולו) — אריח שמשמיע צליל חלול בהקשה — מעיד על חוסר הדבקה מלאה לבסיס,"הרמת אריח, ניקוי בסיס, הדבקה מחדש עם כיסוי מלא","ת""י 1555 — כיסוי דבק מינימלי 80% משטח האריח",₪ 500
ריצוף וחיפוי קרמיקה,שיפוע לקוי בריצוף מרפסת — שיפוע ריצוף במרפסת לא מכוון לניקוז — מים נשארים על המשטח,פירוק ריצוף והנחה מחדש עם שיפוע תקני,"ת""י 1555 / ת""י 1515.3 — שיפוע מינימלי במרפסת: 1.5% לכיוון הניקוז",₪ 350
ריצוף וחיפוי קרמיקה,הצפה של דבק אריחים מהרובה — דבק אריחים שעלה ובלט מתוך קווי הרובה בין האריחים. נראה כחומר לבן/אפור שאינו רובה. נגרם משימוש ביותר מדי דבק,"הסרת הדבק העודף בעזרת כלי חד, ניקוי התפרים ומילוי מחדש ברובה נקייה","ת""י 1555 חלק 3 — דבק אריחים לא יבלוט מעבר לתפרי הרובה",₪ 50
ריצוף וחיפוי קרמיקה,חיפוי קירות חדר רחצה לא מלא — חיפוי הקרמיקה בחדר הרחצה אינו מגיע לגובה הנדרש או שיש אזורים ללא חיפוי שהיו צריכים להיות מחופים לפי המפרט,השלמת חיפוי הקרמיקה עד לגובה הנדרש במפרט עם אריחים זהים,"ת""י 1555 חלק 3 — חיפוי קירות בחדרי רחצה חייב להתאים למפרט הטכני, בדרך כלל עד גובה התקרה או 2.10 מ' לפחות",₪ 350
ריצוף וחיפוי קרמיקה,"סיליקון חסר או פגום בפינות רטובות — סיליקון חסר, מתקלף, או מעופש בפינות ובמפגשים בחדרי רחצה ומטבח — בין קיר לרצפה, בין קיר לאמבטיה, סביב כיור","הסרת הסיליקון הישן, ניקוי ויובש של האזור, יישום סיליקון סניטרי אנטי-פטרייתי חדש","ת""י 1555 חלק 3 — כל המפגשים בין משטחים באזורים רטובים חייבים להיות אטומים בסיליקון סניטרי",₪ 80
ריצוף וחיפוי קרמיקה,חיפוי קיר לא צמוד / בולט — אריח חיפוי קיר שלא צמוד למשטח — בולט או מתנדנד,"הסרת אריח, ניקוי, הדבקה מחדש","ת""י 1555 — חיפוי קירות חייב להיות צמוד לבסיס במלואו",₪ 450
ריצוף וחיפוי קרמיקה,חיפוי קיר שבור / סדוק — אריח חיפוי קיר עם סדק או שבר,החלפת אריח פגום,"ת""י 1555 — אריחי חיפוי חייבים להיות שלמים",₪ 500
גבס,"לוח גבס עם כתמי רטיבות — כתמי רטיבות על לוח גבס, לרוב בתקרה או בקירות חדרים רטובים. לוח גבס רגיל (לבן) שהותקן באזור רטוב במקום לוח ירוק עמיד מים","החלפת הלוח הפגום בלוח גבס ירוק (עמיד מים), טיפול במקור הרטיבות, שפכטל וצביעה","ת""י 4283 — באזורים רטובים (חדרי אמבטיה, מטבחים) יש להשתמש בלוחות גבס עמידים ברטיבות (ירוקים)",₪ 500
גבס,סדק בתפר בין לוחות גבס — סדק לאורך התפר בין שני לוחות גבס. נגרם לרוב מטיפול לא נכון בתפר — חוסר בסרט תפר או שימוש בשפכטל לא מתאים,"פתיחת הסדק, הדבקת סרט רשת פיברגלס, שפכטל בשלוש שכבות עם ליטוש בין שכבה לשכבה","ת""י 4283 — תפרים בין לוחות גבס חייבים להיות מטופלים בסרט תפר ושפכטל מתאים למניעת סדקים",₪ 80
גבס,בליטת ברגים בלוח גבס — ראשי הברגים בולטים מעבר לפני השטח של לוח הגבס ולא שוקעו כראוי. נראים כנקודות בולטות לאחר הצביעה,"שקיעת הברגים הבולטים, כיסוי בשפכטל בשתי שכבות, ליטוש וצביעה","ת""י 4283 — ברגים חייבים להיות משוקעים 1-2 מ""מ מתחת לפני השטח ומכוסים בשפכטל",₪ 50
גבס,תקרת גבס לא ישרה — גלים — תקרת הגבס אינה מישורית — ניתן להבחין בגלים או שקעים. נגרם מפרופילים לא מיושרים או ריווח לא נכון של שלדת המתכת,"התאמת שלדת המתכת, הסרה והרכבה מחדש של הלוחות באזור הבעייתי, שפכטל וליטוש","ת""י 4283 — סטייה מקסימלית מותרת ממישוריות: 3 מ""מ לכל 2 מטר בתקרת גבס",₪ 300
גבס,"חוסר בפתח ביקורת בתקרת גבס — תקרת גבס ללא פתח ביקורת (דלת revision) לגישה לצנרת, חיווט חשמלי, או מערכות מיזוג הנמצאים מעל התקרה",חיתוך פתח ביקורת במיקום מתאים והתקנת מסגרת ודלת ביקורת תקנית,NULL,₪ 400
גבס,"לוח גבס שבור או מחורר — שבר או חור בלוח הגבס כתוצאה מחבטה, פגיעה במהלך העבודות, או התקנה לקויה","חיתוך האזור הפגום בצורת מלבן, הרכבת טלאי גבס חדש, סרט תפר, שפכטל וליטוש","ת""י 4283 — לוחות גבס חייבים להיות שלמים וללא פגמים",₪ 250
גבס,הפרש גובה בין לוח גבס לקיר טיח — הפרש גובה (מדרגה) במעבר בין תקרת/קיר גבס לקיר טיח. גורם לבעיה אסתטית ומקשה על צביעה אחידה,"יישור האזור באמצעות שפכטל, שימוש בפרופיל מעבר מתאים, ליטוש וצביעה","ת""י 4283 — מעבר בין לוח גבס לטיח חייב להיות חלק וללא מדרגה",₪ 60
גבס,"שפכטל לא מוחלק — טקסטורה גסה — עבודת השפכטל על לוחות הגבס לא הושלמה כראוי — ניתן לראות קווי שפכטל, סימני כלי עבודה, או טקסטורה לא אחידה שבולטת לאחר הצביעה","ליטוש מחדש של כל המשטח בנייר שיוף עדין (220-320), שכבת שפכטל סופית, ליטוש נוסף","ת""י 4283 — גימור שפכטל חייב להיות חלק ואחיד ללא סימני כלי עבודה",₪ 60
גבס,גבס קרטון ללא בידוד אקוסטי מספיק — מחיצת גבס קרטון בין דירות או חדרים שאינה עומדת בדרישות הבידוד האקוסטי. ניתן לשמוע רעשים מהצד השני,"הוספת שכבת בידוד (צמר סלעים) בתוך המחיצה, או הוספת לוח גבס נוסף עם שכבת דמפינג","ת""י 1419 — מחיצת גבס בין דירות חייבת לעמוד בערך בידוד אקוסטי מינימלי של Rw=50dB",₪ 350
גבס,גבס — סדק בתפר — סדק בתפר בין לוחות גבס — ליקוי נפוץ בתקרות ובמחיצות,"פתיחת תפר, מילוי בחומר גמיש, סרט רשת, שפכטל וצביעה",NULL,₪ 600
אבן ושיש,"אבן חיפוי חיצוני רופפת — אבן חיפוי חיצונית שאינה מחוברת היטב למבנה ונעה בלחיצה. מהווה סכנת נפילה חמורה, במיוחד בקומות גבוהות","הסרה מבוקרת של האבן, בדיקת העיגון המכני, הדבקה מחדש עם דבק C2S1 ועיגון מכני נוסף","ת""י 2378 — אבן חיפוי חיצונית חייבת להיות מעוגנת מכנית בנוסף להדבקה, בהתאם לגובה ולמשקל",₪ 800
אבן ושיש,"סדק באבן חיפוי — סדק באבן חיפוי חיצונית או פנימית. עלול להיגרם מתזוזות תרמיות, מתח מכני, או פגם באבן עצמה",החלפת האבן הסדוקה באבן חדשה מאותו המחצבה ועם גימור זהה,"ת""י 2378 — אבני חיפוי חייבות להיות שלמות וללא סדקים הפוגעים ביציבותן",₪ 700
אבן ושיש,"כתמים על אבן טבעית — כתמים על משטח אבן טבעית (שיש, גרניט) כתוצאה מחומרי ניקוי לא מתאימים, דבק שחלחל, או חומרי בנייה שנשפכו","ניקוי מקצועי באמצעות חומרים ייעודיים לאבן טבעית, ליטוש מקומי במידת הצורך, יישום חומר הגנה",NULL,₪ 150
אבן ושיש,חוסר עיגון מכני באבן חיפוי בגובה — אבן חיפוי בגובה מעל 4 מטר שהודבקה ללא עיגון מכני נוסף. מהווה סכנת נפילה חמורה ודורש טיפול מיידי,הוספת עיגון מכני (סיכות נירוסטה או מסגרת תלייה) לכל אבני החיפוי מעל 4 מ',"ת""י 2378 — אבן חיפוי בגובה מעל 4 מ' חייבת לכלול עיגון מכני בנוסף להדבקה כימית",₪ 600
אבן ושיש,רובה חסרה בין אבני חיפוי — חוסר ברובה (מילוי) בין אבני החיפוי החיצוני. מאפשר חדירת מים מאחורי האבנים ועלול לגרום לנזק מצטבר ולניתוק,מילוי התפרים בחומר איטום פוליאורתני או סיליקון בצבע מתאים לאבן,"ת""י 2378 — תפרים בין אבני חיפוי חיצוני חייבים להיות ממולאים בחומר איטום גמיש",₪ 80
אבן ושיש,"אדן שיש/אבן סדוק — סדק באדן חלון או משטח עבודה מאבן טבעית. לרוב נגרם ממתח מכני, תזוזת מבנה, או חיתוך לקוי של האבן","תיקון בשרף אפוקסי שקוף או בצבע מתאים, ליטוש מקומי. במקרים חמורים — החלפת האבן",NULL,₪ 600
