index,category,title,description_clean,recommendation,cost_text,standard,standard_ref,severity,raw_description
15,טיח ושפכטל,עובי טיח לא מספיק,"שכבת הטיח דקה מהנדרש בתקן, מה שמפחית את ההגנה מפני רטיבות ותנאי מזג אוויר ומקצר את אורך חיי הטיח","הוספת שכבת טיח נוספת להשלמת העובי הנדרש, עם שכבת חיבור (ספריץ) בין השכבות","₪60-₪120 (למ""ר)","ת""י 1415 — עובי מינימלי של טיח חיצוני: 20 מ""מ (שתי שכבות). טיח פנימי: 10 מ""מ","ת""י 1415 — עובי מינימלי של טיח חיצוני: 20 מ""מ (שתי שכבות). טיח פנימי: 10 מ""מ",medium,"**עובי טיח לא מספיק** — שכבת הטיח דקה מהנדרש בתקן, מה שמפחית את ההגנה מפני רטיבות ותנאי מזג אוויר ומקצר את אורך חיי הטיח.. המלצה: הוספת שכבת טיח נוספת להשלמת העובי הנדרש, עם שכבת חיבור (ספריץ) בין השכבות. עלות משוערת: ₪60-₪120 (למ""ר)"
16,טיח ושפכטל,חוסר חיזוק רשת בטיח על תפר בלוקים-בטון,"טיח שבוצע על תפר בין חומרים שונים (בלוקים ובטון) ללא רשת חיזוק, מה שגורם לסדקים לאורך קו התפר","חשיפת התפר, הדבקת רשת פיברגלס ברוחב 20 ס""מ לפחות על כל אורך התפר, טיוח מחדש","₪40-₪80 (למ""א)","ת""י 1415 — יש להניח רשת טיח על כל תפר בין חומרים שונים (בלוקים/בטון) למניעת סדקים","ת""י 1415 — יש להניח רשת טיח על כל תפר בין חומרים שונים (בלוקים/בטון) למניעת סדקים",medium,"**חוסר חיזוק רשת בטיח על תפר בלוקים-בטון** — טיח שבוצע על תפר בין חומרים שונים (בלוקים ובטון) ללא רשת חיזוק, מה שגורם לסדקים לאורך קו התפר.. המלצה: חשיפת התפר, הדבקת רשת פיברגלס ברוחב 20 ס""מ לפחות על כל אורך התפר, טיוח מחדש. עלות משוערת: ₪40-₪80 (למ""א)"
17,טיח ושפכטל,סדק כיווץ בטיח,סדק דק בטיח הנובע מכיווץ והתייבשות. שכיח בחיבורי קירות ובסביבת פתחים,מילוי הסדק בחומר אקרילי גמיש וצביעה מחדש,₪150-₪400 (ליחידה),"ת""י 1515 — תקן ישראלי לעבודות טיח — סדקי כיווץ עד 0.5 מ""מ נחשבים תקינים","ת""י 1515 — תקן ישראלי לעבודות טיח — סדקי כיווץ עד 0.5 מ""מ נחשבים תקינים",low,**סדק כיווץ בטיח** — סדק דק בטיח הנובע מכיווץ והתייבשות. שכיח בחיבורי קירות ובסביבת פתחים.. המלצה: מילוי הסדק בחומר אקרילי גמיש וצביעה מחדש. עלות משוערת: ₪150-₪400 (ליחידה)
18,טיח ושפכטל,סדק אלכסוני בטיח,"סדק אלכסוני בטיח, עלול להעיד על תזוזת מבנה או שקיעה דיפרנציאלית. דורש בדיקה הנדסית","בדיקת מהנדס קונסטרוקציה, תיקון בהתאם לממצאים",₪300-₪2000 (ליחידה),"ת""י 1515 — סדק אלכסוני מעל 1 מ""מ מחייב בדיקת מהנדס","ת""י 1515 — סדק אלכסוני מעל 1 מ""מ מחייב בדיקת מהנדס",medium,"**סדק אלכסוני בטיח** — סדק אלכסוני בטיח, עלול להעיד על תזוזת מבנה או שקיעה דיפרנציאלית. דורש בדיקה הנדסית.. המלצה: בדיקת מהנדס קונסטרוקציה, תיקון בהתאם לממצאים. עלות משוערת: ₪300-₪2000 (ליחידה)"
19,טיח ושפכטל,בליטות וגבשושיות בטיח,"משטח טיח לא חלק — בליטות, גבשושיות או אי-סדרים במרקם","שיוף מקומי וצביעה מחדש, או טיח מחדש בחלק הפגום",₪200-₪600 (ליחידה),"ת""י 1515 — סטייה מותרת של 3 מ""מ ב-2 מטר","ת""י 1515 — סטייה מותרת של 3 מ""מ ב-2 מטר",low,"**בליטות וגבשושיות בטיח** — משטח טיח לא חלק — בליטות, גבשושיות או אי-סדרים במרקם.. המלצה: שיוף מקומי וצביעה מחדש, או טיח מחדש בחלק הפגום. עלות משוערת: ₪200-₪600 (ליחידה)"
20,טיח ושפכטל,טיח מתקלף / מתפורר,"טיח שמתקלף או מתפורר מהקיר, חושף את השכבה שמתחת. עלול להעיד על בעיית רטיבות","הסרת טיח פגום, בדיקת רטיבות, טיח מחדש וצביעה",₪300-₪1200 (ליחידה),"ת""י 1515 — טיח חייב להיות צמוד לבסיס — התקלפות מהווה כשל","ת""י 1515 — טיח חייב להיות צמוד לבסיס — התקלפות מהווה כשל",medium,"**טיח מתקלף / מתפורר** — טיח שמתקלף או מתפורר מהקיר, חושף את השכבה שמתחת. עלול להעיד על בעיית רטיבות.. המלצה: הסרת טיח פגום, בדיקת רטיבות, טיח מחדש וצביעה. עלות משוערת: ₪300-₪1200 (ליחידה)"
21,ריצוף וחיפוי קרמיקה,אריח רצפה שבור או סדוק,"אריח רצפה עם שבר, סדק או פגם גלוי. עלול להיגרם מחבטה, עומס נקודתי, או הדבקה לקויה שגרמה למתח באריח","הסרת האריח הפגום, ניקוי המשטח, הדבקת אריח חדש זהה בדבק מתאים ומילוי רובה",₪150-₪400 (ליחידה),"ת""י 1555 חלק 3 — אריחי ריצוף חייבים להיות שלמים, ללא סדקים, שברים או פגמים","ת""י 1555 חלק 3 — אריחי ריצוף חייבים להיות שלמים, ללא סדקים, שברים או פגמים",medium,"**אריח רצפה שבור או סדוק** — אריח רצפה עם שבר, סדק או פגם גלוי. עלול להיגרם מחבטה, עומס נקודתי, או הדבקה לקויה שגרמה למתח באריח.. המלצה: הסרת האריח הפגום, ניקוי המשטח, הדבקת אריח חדש זהה בדבק מתאים ומילוי רובה. עלות משוערת: ₪150-₪400 (ליחידה)"
22,ריצוף וחיפוי קרמיקה,אריח רצפה רופף — חלל מתחת לאריח,"אריח רצפה שאינו מודבק כראוי ויש חלל בינו לבין המצע. ניתן לזהות על ידי הקשה — צליל חלול. על פי התקן, כיסוי הדבק חייב להיות מינימום 65%","הרמת האריח, ניקוי המשטח מדבק ישן, הדבקה מחדש בשיטת סרוק כפול (דבק על המצע ועל גב האריח), מילוי רובה",₪120-₪300 (ליחידה),"ת""י 1555 חלק 3 — כיסוי הדבק מתחת לאריח חייב להיות מינימום 65% משטח האריח, ובאזורים רטובים 80%","ת""י 1555 חלק 3 — כיסוי הדבק מתחת לאריח חייב להיות מינימום 65% משטח האריח, ובאזורים רטובים 80%",medium,"**אריח רצפה רופף — חלל מתחת לאריח** — אריח רצפה שאינו מודבק כראוי ויש חלל בינו לבין המצע. ניתן לזהות על ידי הקשה — צליל חלול. על פי התקן, כיסוי הדבק חייב להיות מינימום 65%.. המלצה: הרמת האריח, ניקוי המשטח מדבק ישן, הדבקה מחדש בשיטת סרוק כפול (דבק על המצע ועל גב האריח), מילוי רובה. עלות משוערת: ₪120-₪300 (ליחידה)"
23,ריצוף וחיפוי קרמיקה,הפרשי גובה בין אריחי רצפה — שיניים,"הפרש גובה (שן) בין אריחים סמוכים. גורם למעידה, ומהווה ליקוי אסתטי ובטיחותי כאחד","ליטוש מקומי של השן באמצעות מכונת ליטוש יהלום, או החלפת האריח הבולט והדבקתו מחדש בגובה הנכון",₪80-₪200 (ליחידה),"ת""י 1555 חלק 3 — הפרש גובה מקסימלי מותר בין אריחים סמוכים: 1 מ""מ לריצוף רגיל, 0.5 מ""מ לריצוף מוחלק","ת""י 1555 חלק 3 — הפרש גובה מקסימלי מותר בין אריחים סמוכים: 1 מ""מ לריצוף רגיל, 0.5 מ""מ לריצוף מוחלק",medium,"**הפרשי גובה בין אריחי רצפה — שיניים** — הפרש גובה (שן) בין אריחים סמוכים. גורם למעידה, ומהווה ליקוי אסתטי ובטיחותי כאחד.. המלצה: ליטוש מקומי של השן באמצעות מכונת ליטוש יהלום, או החלפת האריח הבולט והדבקתו מחדש בגובה הנכון. עלות משוערת: ₪80-₪200 (ליחידה)"
24,ריצוף וחיפוי קרמיקה,חוסר מישוריות בריצוף,משטח הרצפה אינו ישר — שקעים או בליטות. ניתן לבדוק באמצעות סרגל ישר באורך 2 מ'. מונע הנחה תקינה של ריהוט,"פירוק אריחים באזור הבעייתי, יישור תשתית המצע, והדבקה מחדש בשיטה תקנית","₪120-₪250 (למ""ר)","ת""י 1555 חלק 3 — סטייה מקסימלית מותרת ממישוריות: 3 מ""מ לכל 2 מטר אורך","ת""י 1555 חלק 3 — סטייה מקסימלית מותרת ממישוריות: 3 מ""מ לכל 2 מטר אורך",medium,"**חוסר מישוריות בריצוף** — משטח הרצפה אינו ישר — שקעים או בליטות. ניתן לבדוק באמצעות סרגל ישר באורך 2 מ'. מונע הנחה תקינה של ריהוט.. המלצה: פירוק אריחים באזור הבעייתי, יישור תשתית המצע, והדבקה מחדש בשיטה תקנית. עלות משוערת: ₪120-₪250 (למ""ר)"
25,ריצוף וחיפוי קרמיקה,רובה חסרה או פגומה,חוסר ברובה (פוגה) בין האריחים או רובה שבורה ומתפוררת. מאפשר חדירת מים ולכלוך בין האריחים,"ניקוי הרובה הישנה, מילוי מחדש ברובה תקנית בצבע מתאים, ניקוי עודפים","₪30-₪60 (למ""ר)","ת""י 1555 חלק 3 — כל המרווחים בין אריחים חייבים להיות מלאים ברובה באופן אחיד","ת""י 1555 חלק 3 — כל המרווחים בין אריחים חייבים להיות מלאים ברובה באופן אחיד",low,"**רובה חסרה או פגומה** — חוסר ברובה (פוגה) בין האריחים או רובה שבורה ומתפוררת. מאפשר חדירת מים ולכלוך בין האריחים.. המלצה: ניקוי הרובה הישנה, מילוי מחדש ברובה תקנית בצבע מתאים, ניקוי עודפים. עלות משוערת: ₪30-₪60 (למ""ר)"
26,ריצוף וחיפוי קרמיקה,שיפוע לקוי בריצוף מרפסת/מקלחת,"שיפוע הריצוף אינו מספיק או שהוא בכיוון הלא נכון, מה שגורם להצטברות מים על הרצפה במקום ניקוז לעבר הנקז","פירוק הריצוף באזור הבעייתי, תיקון שכבת השיפוע, ריצוף מחדש עם בדיקת שיפוע","₪200-₪450 (למ""ר)","ת""י 1555 חלק 3 — שיפוע מינימלי נדרש של 1.5% לכיוון הנקז באזורים רטובים ומרפסות","ת""י 1555 חלק 3 — שיפוע מינימלי נדרש של 1.5% לכיוון הנקז באזורים רטובים ומרפסות",medium,"**שיפוע לקוי בריצוף מרפסת/מקלחת** — שיפוע הריצוף אינו מספיק או שהוא בכיוון הלא נכון, מה שגורם להצטברות מים על הרצפה במקום ניקוז לעבר הנקז.. המלצה: פירוק הריצוף באזור הבעייתי, תיקון שכבת השיפוע, ריצוף מחדש עם בדיקת שיפוע. עלות משוערת: ₪200-₪450 (למ""ר)"
27,ריצוף וחיפוי קרמיקה,מרווח לא אחיד בין אריחים,רוחב הרובה אינו אחיד בין האריחים — מרווחים משתנים בגודלם. פוגע באסתטיקה ומעיד על עבודה לא מקצועית,באזורים קטנים — מילוי רובה מחדש. באזורים נרחבים — פירוק והנחה מחדש עם צלבונים,"₪60-₪150 (למ""ר)","ת""י 1555 חלק 3 — מרווח הרובה חייב להיות אחיד בכל הריצוף עם סטייה מותרת של עד 1 מ""מ","ת""י 1555 חלק 3 — מרווח הרובה חייב להיות אחיד בכל הריצוף עם סטייה מותרת של עד 1 מ""מ",low,"**מרווח לא אחיד בין אריחים** — רוחב הרובה אינו אחיד בין האריחים — מרווחים משתנים בגודלם. פוגע באסתטיקה ומעיד על עבודה לא מקצועית.. המלצה: באזורים קטנים — מילוי רובה מחדש. באזורים נרחבים — פירוק והנחה מחדש עם צלבונים. עלות משוערת: ₪60-₪150 (למ""ר)"
28,ריצוף וחיפוי קרמיקה,אריח חיפוי קיר רופף,אריח חיפוי קיר שאינו מודבק כראוי ונע בלחיצה. מהווה סכנה ליפול ולגרום לפציעה,"הסרת האריח, ניקוי מלא של הדבק הישן מהקיר ומגב האריח, הדבקה מחדש בדבק C2 עם סרוק כפול",₪100-₪250 (ליחידה),"ת""י 1555 חלק 3 — כיסוי הדבק באריחי קיר חייב להיות מינימום 80% משטח האריח","ת""י 1555 חלק 3 — כיסוי הדבק באריחי קיר חייב להיות מינימום 80% משטח האריח",medium,"**אריח חיפוי קיר רופף** — אריח חיפוי קיר שאינו מודבק כראוי ונע בלחיצה. מהווה סכנה ליפול ולגרום לפציעה.. המלצה: הסרת האריח, ניקוי מלא של הדבק הישן מהקיר ומגב האריח, הדבקה מחדש בדבק C2 עם סרוק כפול. עלות משוערת: ₪100-₪250 (ליחידה)"
29,ריצוף וחיפוי קרמיקה,אריח חיפוי קיר סדוק,"סדק באריח חיפוי קיר. עלול להיגרם ממתח פנימי כתוצאה מהדבקה לקויה, תזוזת מבנה, או חבטה","החלפת האריח הסדוק באריח חדש זהה, הדבקה בדבק C2 ומילוי רובה",₪120-₪300 (ליחידה),"ת""י 1555 חלק 3 — אריחי חיפוי חייבים להיות שלמים וללא סדקים","ת""י 1555 חלק 3 — אריחי חיפוי חייבים להיות שלמים וללא סדקים",medium,"**אריח חיפוי קיר סדוק** — סדק באריח חיפוי קיר. עלול להיגרם ממתח פנימי כתוצאה מהדבקה לקויה, תזוזת מבנה, או חבטה.. המלצה: החלפת האריח הסדוק באריח חדש זהה, הדבקה בדבק C2 ומילוי רובה. עלות משוערת: ₪120-₪300 (ליחידה)"
30,ריצוף וחיפוי קרמיקה,חוסר התאמת דוגמה/כיוון אריחים,אריחים שהונחו בכיוון לא נכון או שהדוגמה אינה מותאמת ביניהם. בולט בעיקר באריחי שיש או אריחים עם גידים,החלפת האריחים שהונחו שלא כדין והנחתם מחדש בכיוון הנכון,"₪150-₪350 (למ""ר)","ת""י 1555 חלק 3 — אריחים עם דוגמה או כיוון מוגדר חייבים להיות מונחים בהתאמה ובכיוון אחיד","ת""י 1555 חלק 3 — אריחים עם דוגמה או כיוון מוגדר חייבים להיות מונחים בהתאמה ובכיוון אחיד",medium,"**חוסר התאמת דוגמה/כיוון אריחים** — אריחים שהונחו בכיוון לא נכון או שהדוגמה אינה מותאמת ביניהם. בולט בעיקר באריחי שיש או אריחים עם גידים.. המלצה: החלפת האריחים שהונחו שלא כדין והנחתם מחדש בכיוון הנכון. עלות משוערת: ₪150-₪350 (למ""ר)"
31,ריצוף וחיפוי קרמיקה,חיתוך אריח לא מדויק,"אריחים שנחתכו בצורה לא מדויקת — קצוות משוננים, לא ישרים, או חיתוכים רחבים מדי/צרים מדי סביב צנרת או פתחים","הסרת האריח הפגום וחיתוך מחדש באמצעות מסור רטוב מקצועי, הדבקה ומילוי רובה",₪100-₪250 (ליחידה),"ת""י 1555 חלק 3 — חיתוכי אריחים חייבים להיות נקיים ומדויקים ללא שברים בקצוות","ת""י 1555 חלק 3 — חיתוכי אריחים חייבים להיות נקיים ומדויקים ללא שברים בקצוות",low,"**חיתוך אריח לא מדויק** — אריחים שנחתכו בצורה לא מדויקת — קצוות משוננים, לא ישרים, או חיתוכים רחבים מדי/צרים מדי סביב צנרת או פתחים.. המלצה: הסרת האריח הפגום וחיתוך מחדש באמצעות מסור רטוב מקצועי, הדבקה ומילוי רובה. עלות משוערת: ₪100-₪250 (ליחידה)"
